Text,True Labels,Predicted labels
خارطة فلسطين تبين طرق التهجير التي سلكها الفلسطينيون أثناء حرب 1948 ( النكبة ),"['O', 'B-GPE', 'O', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'B-EVENT', 'I-EVENT', 'O', 'B-EVENT', 'O']","['O', 'B-GPE', 'O', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'I-EVENT', 'I-EVENT', 'O', 'O', 'O']"
صورة رئيس مجلس محلي بيرزيت بطرس مسلم عرنكي ( 1925 / 1937 ),"['O', 'B-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'B-PERS', 'I-PERS', 'I-PERS', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'O']","['O', 'B-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'B-PERS', 'I-PERS', 'I-PERS', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'O']"
رخصة عمل يوسف مصطفى خليل,"['O', 'O', 'B-PERS', 'I-PERS', 'I-PERS']","['O', 'O', 'B-PERS', 'I-PERS', 'I-PERS']"
رسالة من سكان وأهالي مدينة البيرة إلى رئيس الوزراء الأردني,"['O', 'O', 'O', 'B-NORP', 'I-NORP', 'I-NORP', 'O', 'B-OCC', 'I-OCC', 'I-OCC']","['O', 'O', 'B-NORP', 'I-NORP', 'I-GPE', 'I-GPE', 'O', 'B-OCC', 'I-OCC', 'I-OCC']"
شهادة تسجيل مستخرجة من الطابو للسيد محمد موسى سمور من قرية دير ياسين المدمرة قضاء مدينة القدس,"['O', 'O', 'O', 'O', 'O', 'O', 'B-PERS', 'I-PERS', 'I-PERS', 'O', 'B-GPE', 'I-GPE', 'I-GPE', 'I-GPE', 'B-GPE', 'I-GPE', 'I-GPE']","['O', 'O', 'O', 'O', 'O', 'O', 'B-PERS', 'I-PERS', 'I-PERS', 'O', 'B-GPE', 'I-GPE', 'I-GPE', 'O', 'O', 'I-GPE', 'I-GPE']"
وصل لسند مالي يظهر دفع مبلغ بالعملة العثمانية بدل بضاعة تم شراؤها من بيروت ( 1914 ),"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'B-DATE', 'O']","['O', 'B-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'B-DATE', 'O']"
وثيقة بريطانية بخصوص اجتماع نابلس الذي عقدته السلطة التنفيذية العربية ( 1931 ),"['O', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-DATE', 'O']","['O', 'O', 'O', 'O', 'I-EVENT', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-DATE', 'O']"
تقرير بريطاني حول انتخابات المجلس الإسلامي الأعلى,"['O', 'O', 'O', 'B-EVENT', 'I-EVENT', 'I-EVENT', 'I-EVENT']","['O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG']"
ملخص التقرير الأسبوعي البريطاني بشأن انتخابات المجلس الإسلامي الأعلى ( 1932 ),"['O', 'O', 'O', 'O', 'O', 'B-EVENT', 'I-EVENT', 'I-EVENT', 'I-EVENT', 'O', 'B-DATE', 'O']","['O', 'O', 'B-ORG', 'I-EVENT', 'O', 'O', 'I-EVENT', 'I-EVENT', 'I-EVENT', 'O', 'B-DATE', 'O']"
إميلي عودة في ( 1942 ),"['B-PERS', 'I-PERS', 'O', 'O', 'B-DATE', 'O']","['O', 'I-PERS', 'O', 'O', 'B-DATE', 'O']"
""""""""" حوار بين رئيس المجلس الإسلامي الأعلى والمفوض السامي البريطاني بشأن """""""" """""""" الاضطرابات """""""" """""""" ( 1936 ) """"""""","['O', 'O', 'O', 'B-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'B-OCC', 'I-OCC', 'I-OCC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'O', 'O']","['O', 'O', 'O', 'B-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'B-OCC', 'I-OCC', 'I-OCC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'O', 'O']"
رسالة من المفوض السامي إلى وزير المستعمرات في لندن بشأن تفضيل إبعاد المفتي ، سبتمبر ( 1936 ),"['O', 'O', 'B-OCC', 'I-OCC', 'O', 'B-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'O', 'O', 'O', 'B-OCC', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE']","['O', 'O', 'B-OCC', 'I-OCC', 'O', 'B-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'O', 'I-DATE', 'O']"
( 1915 ) عائلة منصور عودة عام,"['O', 'B-DATE', 'O', 'B-NORP', 'I-NORP', 'I-NORP', 'O']","['O', 'B-ORDINAL', 'O', 'O', 'B-PERS', 'I-PERS', 'O']"
خريطة غرب فلسطين عام ( 1882 ),"['O', 'O', 'B-GPE', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE']","['O', 'B-GPE', 'B-GPE', 'B-DATE', 'I-DATE', 'I-DATE', 'O']"
مذكرة مقدمة لرئيسة وزراء بريطانيا العظمى ، مارغريت تاتشر في ( 1985 ),"['O', 'O', 'B-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'O', 'B-PERS', 'I-PERS', 'O', 'O', 'B-DATE', 'O']","['O', 'O', 'B-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'O', 'B-PERS', 'I-PERS', 'O', 'O', 'B-DATE', 'O']"
النشرة الإخبارية الصادرة عن الأونروا رقم 107 ( 1986 / 1 / 5 ),"['O', 'O', 'O', 'O', 'B-ORG', 'O', 'B-ORDINAL', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'O']"
