Text,True Labels,Predicted labels
"رسالة معالي الأمين العام بمناسبة يوم البيئة العالمي ( 5 يونيو 2020 ) , التاريخ : 4 / 6 / 2020 , تنضم منظمة التعاون الإسلامي إلى المجتمع الدولي للاحتفال في الخامس من يونيو بيوم البيئة العالمي","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
", كشف وباء ( كوفيد - 19 ) عن أوجه القصور في أنظمتنا الصحية وعدم قدرة سلاسل الإمداد الغذائي على تلبية متطلباتنا","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
", ولضمان بقاء البشر وأنواع الكائنات الأخرى ، من الضروري أن نعتمد نهجًا منسقًا وشاملًا للحفاظ على التوازن الدقيق بين حماية الطبيعة والتنمية الاقتصادية المستدامة","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
", إن منظمة التعاون الإسلامي تدرك إدراكًا تامًا الروابط التي لا انفصام لها بين الاستدامة البيئية والتنمية ، وتُولي أولويةً قصوى للشواغل المتعلقة بالبيئة","['O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
وتغير المناخ ، وحماية التنوع البيولوجي,"['O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O']"
", إن الاجتماعات المتعاقبة لمجلس وزراء خارجية المنظمة ، فضلا عن المؤتمرات الإسلامية لوزراء البيئة ، تعالج طائفة واسعة من التحديات البيئية","['O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
بما في ذلك القضايا المتعلقة باجتثاث الغابات ، والتصحر ، وشُحّ المياه ، والآثار السلبية لتغير المناخ,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
", وأود أن أختتم بالتأكيد مجددًا على الضرورة العاجلة لاعتماد تدابير متكاملة للحد من الآثار الضارة لتغير المناخ والكوارث الطبيعية","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
", يتعين إدماج الشواغل البيئية في الاستراتيجيات الوطنية للتنمية المستدامة وتعزيز التعاون الدولي والإقليمي في مجال تغير المناخ ، حمايةً للطبيعة وضمانًا لرفاه أجيالنا القادمة","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
", بيانات أخرى , رسالة معالي الأمين العام بمناسبة يوم البيئة العالمي ( 5 يونيو 2020 ) , مؤتمر بالفيديو لبحث آثار جائحة كورونا على جامعات منظمة التعاون الإسلامي , """""""""""" التعاون الإسلامي """""""""""" : تسليم 5 دول أعضاء منحة مالية عاجلة من صندوق التضامن الإسلامي لمواجهة تداعيات كورونا , الأمانة العامة لمنظمة التعاون الإسلامي ومنظمة الصحة العالمية تبحثان قضايا الصحة","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O']"
