Text,True Labels,Predicted labels
الأمن القومي مستقبل لبنان ( 1 ) إن النظرة الموضوعية لتوظيف جغرافية لبنان في تحقيق أمنه القومي لا بدّ وأن تُقرن مع مجاله الحيوي,"['O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
ألا وهو بعده القومي العربي,"['O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O']"
فهذا البعد يمثّل بالنسبة لدولة صغيرة المساحة ومتواضعة الموارد كلبنان ، الرئة المصلحية والعمق الإستراتيجي ، والذي من خلاله يمكن له أن يستثمر طاقاته البشرية وإمكانياته الثقافية - الفكرية الوقّادة في الآفاق العربية الرحبة المشبعة بالإرث الحضاري والثروات الطبيعية والفرص الاستثمارية,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
ويستثمر جغرافيته المميزة,"['O', 'O', 'O']","['O', 'O', 'O']"
في مقابلة لمجلة الأمن والدفاع العربي مع العميد ناجي ملاعب ( تنشر في ثلاثة أجزاء ) حول دور الجغرافيا السياسية في صنع الأمن القومي اللبناني في المجتمع التكنوشبكي الجديد وعالم الذكاء الإصطناعي,"['O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'B-PERS', 'I-PERS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERS', 'I-PERS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
وهذا الجزء الأول : العناصر المكونة للدولة هي : التجمع البشري – الأمة ، ثانياً الإقليم ، ثالثاً : السلطة ، رابعاً : النظام الإجتماعي,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
والإقليم هو الثابت الوحيد في جغرافية الوطن ، وفي هذا العامل يمتاز لبنان بموقعه الجغرافي,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O']"
", فقد شكل مرفأ صيدا اول منافذ التصدير السوري الى العالم خلال الحقبة الفينيقية ، وبعدها مرفأ صور حيث ينقل لنا المؤرخون أن بحارة صور كانوا ينقلون البضائع السورية والعراقية الى مصر وبلاد الإغريق وأوروبا","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'B-LOC', 'I-LOC', 'B-LOC']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'B-LOC', 'I-LOC', 'B-LOC']"
", وقد شكل مرفأ بيروت – الذي لا يضاهي عمق مياهه وقدرته على إستيعاب البواخر الكبرى اي مرفأ آخر على الساحل اللبناني والسوري والفلسطيني – 11 في المائة من مجمل التجارة العثمانية في مطلع القرن العشرين","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
", وهذا يعني أن لبنان وجه سوريا الى البحر والعالم وان سوريا عمق لبنان الى الشرق والشمال","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O']"
", من هنا تأتي أهمية العاملين اللاحقين : السلطة والنظام الإجتماعي","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
فللجغرافيا دور إيجابي للكيان اللبناني وليست أبدا لعنة,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
