Text,True Labels,Predicted labels
"شمال شرق سوريا : فتيان ورجال محتجزون في ظروف غير إنسانية , ينبغي للدول إعادة مواطنيها وتحسين مواقع الاحتجاز , ( بيروت ) – قالت """""""""""" هيومن رايتس ووتش """""""""""" اليوم إن جماعة مسلحة يقودها الأكراد","['O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"بدعم من التحالف بقيادة الولايات المتحدة الأمريكية ضد تنظيم """""""""""" الدولة الإسلامية """""""""""" ( المعروف أيضا بـ """""""""""" داعش """""""""""" )","['O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O']","['O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O']"
تحتجز آلاف الرجال والفتيان السوريين والأجانب في مراكز احتجاز غير رسمية مكتظة للغاية شمال شرق سوريا,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC']"
", الاحتمال المتزايد لغزو تركيا لهذه المنطقة يُبرِز الحاجة الطارئة إلى أن تضمن الدول فورا قدرة مواطنيها المحتجزين على العودة إلى بلادهم لإعادة تأهيلهم ودمجهم وملاحقتهم عند الاقتضاء","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
بما يتماشى مع المعايير الدولية,"['O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O']"
", تحتجز الجماعة آلاف الرجال والفتيان السوريين والأجانب في مدارس وأبنية أخرى مكتظة للغاية في شمال شرق سوريا","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC']"
", أي سلطة تسيطر فعليا على هذه السجون الغير رسمية ملزمة قانونا بالتحرك بسرعة لتحسين ظروف سجنهم وضمان قانونية احتجاز كل واحد منهم """"""""""""","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
", تقول قسد إنها تحتجز 12 ألف سجين ، منهم 4 ألف أجنبي ، في 7 مراكز احتجاز شمال شرق سوريا","['O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC']","['O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC']"
", سوريا : """""""""""" داعش """""""""""" ألقى جثثا في """""""""""" الهوتة """""""""""" , ( بيروت ) - قالت """""""""""" هيومن رايتس ووتش , , في تقرير أصدرته اليوم","['O', 'B-LOC', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B-LOC', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O']"
"إن تنظيم """""""""""" الدولة الإسلامية """""""""""" ( المعروف أيضا بـ ’ داعش ‘ ) استخدم حفرة في شمال شرق سوريا كموقع للتخلص من جثث الأشخاص الذي اختطفهم أو احتجزهم","['O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B-ORG', 'I-ORG', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
